MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
17.3,24.5,0,ENE,30,W,NE,9,13,79,69,1023.1,1019.1,20.2,24.1,No,No
12.2,20.9,0.4,W,26,W,NNE,20,13,78,52,1025.5,1021.6,13.6,20.6,No,No
20.1,27,0.2,NNE,43,ENE,NE,9,22,78,62,1010.8,1008.5,23.3,26.5,No,No
9.5,19,21.6,NA,0,W,ESE,15,15,69,51,1016.4,1014.1,14.1,18.3,Yes,No
22.9,28.3,0,NA,0,ESE,NE,4,24,79,63,1016.3,1012.2,24.8,27.1,No,No
22.8,29.3,0,NNE,44,E,NE,17,22,64,50,1020.6,1018.3,27.1,27.9,No,No
8.3,20.5,0,NA,0,WNW,W,13,22,58,29,1020.3,1019.6,13.4,19.9,No,No
17.7,31.7,0.6,SSE,41,WNW,ENE,4,15,67,44,1022.4,1019.3,21.6,29.2,No,Yes
16.4,22.2,0,ENE,33,WNW,E,6,20,66,51,1019.7,1016,18.8,21.6,No,No
18.7,27.2,5.4,WNW,50,ENE,E,11,22,68,81,1006,1003.9,24.5,23.6,Yes,Yes
17.7,22.6,0,NA,0,SSE,SSE,26,28,52,48,1020.5,1020.5,19,21.6,No,No
6.1,16.4,0,W,80,W,NW,26,31,44,29,1014.5,1010.2,10.4,15.9,No,No
16.2,24.6,5.6,NA,0,W,ESE,13,17,87,50,1030.4,1027.8,18.7,23,Yes,No
7.5,16.8,0,W,52,W,WSW,28,24,56,36,1016,1015.5,11.3,16.1,No,No
19.3,21.6,2.4,SE,44,SSE,SSE,20,20,86,68,1022.7,1022.5,19.7,21,Yes,Yes
13.1,18.5,0.6,NA,0,W,W,17,15,93,55,1014.7,1012.4,14.5,18.4,No,No
6.7,17,0,WSW,50,W,W,30,20,54,27,1029.4,1025.9,8.6,16.4,No,No
11,20.2,0,NW,59,N,WNW,9,35,53,31,1017,1012.4,13.8,19.5,No,No
7.8,18.5,0,NA,0,W,WNW,9,7,70,40,1017.7,1014,9.4,16.8,No,No
18.1,25,7.4,NE,31,WNW,NE,9,7,78,60,1005.8,1003.2,21.7,22.6,Yes,Yes
8.7,18.2,0,NA,0,WNW,SSE,19,20,70,62,1025.7,1022.3,12.5,16.1,No,No
18.6,23.6,15,ESE,46,ESE,ESE,6,7,86,89,1016.8,1016.3,18.8,19.1,Yes,Yes
12.2,18,4.6,NA,0,NW,WNW,19,20,59,35,1008.6,1003.7,12.8,17.4,Yes,No
16.6,26.7,0,NA,0,NNW,NNE,17,20,70,54,1020,1013.4,22,26,No,Yes
16.9,27.9,4,NA,0,N,NW,28,39,58,23,1009.7,1003.4,22.5,27.8,Yes,No
21.8,29.1,0,NA,0,ENE,NE,7,19,76,54,1017.5,1014.2,25,29,No,No
27.1,37.2,0,WSW,57,NW,WSW,24,33,23,16,1008.5,1007,32.4,34.1,No,Yes
